Date,County,State,Travis
3/4/2020,Travis,TX,0
3/5/2020,Travis,TX,0
3/6/2020,Travis,TX,0
3/7/2020,Travis,TX,0
3/8/2020,Travis,TX,0
3/9/2020,Travis,TX,0
3/10/2020,Travis,TX,0
3/11/2020,Travis,TX,0
3/12/2020,Travis,TX,0
3/13/2020,Travis,TX,0
3/14/2020,Travis,TX,0
3/15/2020,Travis,TX,2
3/16/2020,Travis,TX,2
3/17/2020,Travis,TX,3
3/18/2020,Travis,TX,4
3/19/2020,Travis,TX,7
3/20/2020,Travis,TX,21
3/21/2020,Travis,TX,22
3/22/2020,Travis,TX,22
3/23/2020,Travis,TX,22
3/24/2020,Travis,TX,79
3/25/2020,Travis,TX,98
3/26/2020,Travis,TX,119
3/27/2020,Travis,TX,137
3/28/2020,Travis,TX,160
3/29/2020,Travis,TX,179
3/30/2020,Travis,TX,200
3/31/2020,Travis,TX,206
4/1/2020,Travis,TX,244
4/2/2020,Travis,TX,305
4/3/2020,Travis,TX,351
4/4/2020,Travis,TX,430
4/5/2020,Travis,TX,460
4/6/2020,Travis,TX,484
4/7/2020,Travis,TX,502
4/8/2020,Travis,TX,554
4/9/2020,Travis,TX,597
4/10/2020,Travis,TX,642
4/11/2020,Travis,TX,690
4/12/2020,Travis,TX,744
4/13/2020,Travis,TX,774
4/14/2020,Travis,TX,856
4/15/2020,Travis,TX,900
4/16/2020,Travis,TX,977
4/17/2020,Travis,TX,1029
4/18/2020,Travis,TX,1074
4/19/2020,Travis,TX,1092
4/20/2020,Travis,TX,1108
4/21/2020,Travis,TX,1174
4/22/2020,Travis,TX,1233
4/23/2020,Travis,TX,1263
4/24/2020,Travis,TX,1312
4/25/2020,Travis,TX,1379
4/26/2020,Travis,TX,1396
4/27/2020,Travis,TX,1412
4/28/2020,Travis,TX,1464
4/29/2020,Travis,TX,1539
4/30/2020,Travis,TX,1591
5/1/2020,Travis,TX,1654
5/2/2020,Travis,TX,1683
5/3/2020,Travis,TX,1714
5/4/2020,Travis,TX,1756
5/5/2020,Travis,TX,1816
5/6/2020,Travis,TX,1876
5/7/2020,Travis,TX,1946
5/8/2020,Travis,TX,2002
5/9/2020,Travis,TX,2071
5/10/2020,Travis,TX,2095
5/11/2020,Travis,TX,2127
5/12/2020,Travis,TX,2171
5/13/2020,Travis,TX,2235
5/14/2020,Travis,TX,2288
5/15/2020,Travis,TX,2345
5/16/2020,Travis,TX,2381
5/17/2020,Travis,TX,2425
5/18/2020,Travis,TX,2459
5/19/2020,Travis,TX,2537
5/20/2020,Travis,TX,2595
5/21/2020,Travis,TX,2644
5/22/2020,Travis,TX,2712
5/23/2020,Travis,TX,2761
5/24/2020,Travis,TX,2788
5/25/2020,Travis,TX,2847
5/26/2020,Travis,TX,2933
5/27/2020,Travis,TX,2984
5/28/2020,Travis,TX,3057
5/29/2020,Travis,TX,3124
5/30/2020,Travis,TX,3186
5/31/2020,Travis,TX,3232
6/1/2020,Travis,TX,3272
6/2/2020,Travis,TX,3360
6/3/2020,Travis,TX,3433
6/4/2020,Travis,TX,3501
6/5/2020,Travis,TX,3562
6/6/2020,Travis,TX,3616
6/7/2020,Travis,TX,3662
6/8/2020,Travis,TX,3697
6/9/2020,Travis,TX,3815
6/10/2020,Travis,TX,3976
6/11/2020,Travis,TX,4109
6/12/2020,Travis,TX,4238
6/13/2020,Travis,TX,4314
6/14/2020,Travis,TX,4461
6/15/2020,Travis,TX,4545
6/16/2020,Travis,TX,4664
6/17/2020,Travis,TX,4771
6/18/2020,Travis,TX,4991
6/19/2020,Travis,TX,4991
6/20/2020,Travis,TX,5286
6/21/2020,Travis,TX,5704
6/22/2020,Travis,TX,6210
6/23/2020,Travis,TX,6339
6/24/2020,Travis,TX,6596
6/25/2020,Travis,TX,6914
6/26/2020,Travis,TX,7097
6/27/2020,Travis,TX,7097
6/28/2020,Travis,TX,7825
6/29/2020,Travis,TX,8461
6/30/2020,Travis,TX,8969
7/1/2020,Travis,TX,9527
7/2/2020,Travis,TX,10124
7/3/2020,Travis,TX,10695
7/4/2020,Travis,TX,11009
7/5/2020,Travis,TX,11131
7/6/2020,Travis,TX,11679
7/7/2020,Travis,TX,11926
7/8/2020,Travis,TX,12408
7/9/2020,Travis,TX,13161
7/10/2020,Travis,TX,13864
7/11/2020,Travis,TX,14304
7/12/2020,Travis,TX,14622
7/13/2020,Travis,TX,14788
7/14/2020,Travis,TX,15445
7/15/2020,Travis,TX,15998
7/16/2020,Travis,TX,16570
7/17/2020,Travis,TX,16983
7/18/2020,Travis,TX,17215
7/19/2020,Travis,TX,17454
7/20/2020,Travis,TX,17646
7/21/2020,Travis,TX,17791
7/22/2020,Travis,TX,18394
7/23/2020,Travis,TX,18696
7/24/2020,Travis,TX,18939
7/25/2020,Travis,TX,19177
7/26/2020,Travis,TX,19401
7/27/2020,Travis,TX,19480
7/28/2020,Travis,TX,19720
7/29/2020,Travis,TX,19952
7/30/2020,Travis,TX,20187
7/31/2020,Travis,TX,20465
8/1/2020,Travis,TX,20745
8/2/2020,Travis,TX,20967
8/3/2020,Travis,TX,21214
8/4/2020,Travis,TX,21549
8/5/2020,Travis,TX,21822
8/6/2020,Travis,TX,22024
8/7/2020,Travis,TX,22256
