,0
0,Toy Story 
1,Jumanji 
2,Grumpier Old Men 
3,Waiting to Exhale 
4,Father of the Bride Part II 
5,Heat 
6,Sabrina 
7,Tom and Huck 
8,Sudden Death 
9,GoldenEye 
10,"American President, The "
11,Dracula: Dead and Loving It 
12,Balto 
13,Nixon 
14,Cutthroat Island 
15,Casino 
16,Sense and Sensibility 
17,Four Rooms 
18,Ace Ventura: When Nature Calls 
19,Money Train 
20,Get Shorty 
21,Copycat 
22,Assassins 
23,Powder 
24,Leaving Las Vegas 
25,Othello 
26,Now and Then 
27,Persuasion 
28,"City of Lost Children, The "
29,Shanghai Triad 
30,Dangerous Minds 
31,Twelve Monkeys 
32,Wings of Courage 
33,Carrington 
34,Across the Sea of Time 
35,Guardian Angel 
36,Kids of the Round Table 
37,"Confessional, The "
38,Two Bits 
39,Last Summer in the Hamptons 
40,"Journey of August King, The "
41,Shopping 
42,Headless Body in Topless Bar 
43,Margaret's Museum 
44,Happiness Is in the Field 
45,Race the Sun 
46,"Star Maker, The "
47,"Silences of the Palace, The "
48,Angela 
49,Frankie Starlight 
50,Nueba Yol 
51,Sonic Outlaws 
52,From the Journals of Jean Seberg 
53,"Neon Bible, The "
54,Target 
55,Shadows 
56,Gospa 
57,Feast of July 
58,Moonlight and Valentino 
59,"Show, The "
60,"Stars Fell on Henrietta, The "
61,"Tie That Binds, The "
62,Dream Man 
63,Gumby: The Movie 
64,"Glass Shield, The "
65,"Enfer, L' "
66,Little Odessa 
67,Nemesis 2: Nebula 
68,Panther 
69,"Red Firecracker, Green Firecracker "
70,Safe Passage 
71,"Secret Adventures of Tom Thumb, The "
72,Coldblooded 
73,Desert Winds 
74,Fall Time 
75,"Fear, The "
76,Frank and Ollie 
77,Girl in the Cadillac 
78,Homage 
79,Mirage 
80,Open Season 
81,Two Crimes 
82,Brother Minister: The Assassination of Malcolm X 
83,Martin Lawrence: You So Crazy 
84,Dangerous Game 
85,"Endless Summer 2, The "
86,"Favor, The "
87,"Good Man in Africa, A "
88,Guilty as Sin 
89,Heaven & Earth 
90,King of the Hill 
91,Mr. Jones 
92,"New Age, The "
93,"Saint of Fort Washington, The "
94,Second Best 
95,Harem 
96,Trial by Jury 
97,"Paris, France "
98,"Beans of Egypt, Maine, The "
99,Killer 
100,Cronos 
101,Naked in New York 
102,"Slingshot, The "
103,"Wedding Gift, The "
104,Foreign Student 
105,Fausto 
106,Métisse 
107,I Don't Want to Talk About It 
108,Tough and Deadly 
109,Window to Paris 
110,"Wooden Man's Bride, The "
111,"Bye Bye, Love "
112,Criminals 
113,Century 
114,Loaded 
115,Scream of Stone 
116,My Favorite Season 
117,"Modern Affair, A "
118,Condition Red 
119,Asfour Stah 
120,Rude 
121,Carried Away 
122,"Little Indian, Big City "
123,Roula 
124,Peanuts - Die Bank zahlt alles 
125,Happy Weekend 
126,"Superweib, Das "
127,"301, 302 "
128,And Nobody Weeps for Me 
129,My Mother's Courage 
130,Yankee Zulu 
131,Billy's Holiday 
132,Purple Noon 
133,August 
134,Faithful 
135,All Things Fair 
136,Tarantella 
137,Hostile Intentions 
138,They Bite 
139,Coup de torchon 
140,Tigrero: A Film That Was Never Made 
141,"Eye of Vichy, The "
142,Windows 
143,Country Life 
144,"Promise, The "
145,Under the Domim Tree 
146,Butterfly Kiss 
147,To Cross the Rubicon 
148,Daens 
149,Faces 
150,Cosi 
151,Captives 
152,Of Love and Shadows 
153,Switchblade Sisters 
154,Mouth to Mouth 
155,Halfmoon 
156,Two Friends 
157,War Stories 
158,"Institute Benjamenta, or This Dream People Call Human Life "
159,Low Life 
160,Original Gangstas 
161,Getting Away With Murder 
162,"Garçu, Le "
163,Honey Moon 
164,Brothers in Trouble 
165,Force of Evil 
166,"Man from Down Under, The "
167,Careful 
168,Vermont Is For Lovers 
169,"Month by the Lake, A "
170,Gold Diggers: The Secret of Bear Mountain 
171,Kim 
172,Carmen Miranda: Bananas Is My Business 
173,"Jar, The "
174,"Last of the High Kings, The "
175,"Grass Harp, The "
176,Someone Else's America 
177,Marlene Dietrich: Shadow and Light 
178,Costa Brava 
179,Life Is Rosy 
180,Quartier Mozart 
181,Wend Kuuni 
182,Babyfever 
183,Pharaoh's Army 
184,"Gate of Heavenly Peace, The "
185,"I, the Worst of All "
186,"Hungarian Fairy Tale, A "
187,My Life and Times With Antonin Artaud 
188,Midnight Dancers 
189,"Very Natural Thing, A "
190,"Old Lady Who Walked in the Sea, The "
191,Rendezvous in Paris 
192,Magic Hunter 
193,"Boy Called Hate, A "
